task_id,name,a_dur,m_dur,b_dur,a_cost,m_cost,b_cost,dist_type,is_critical
T1,Task 1,4.370861069626263,4.840268512281133,13.4535199292928,5481.882987497266,7476.781059375688,8273.484361524994,triangular,False
T2,Task 2,9.556428757689243,10.829351959220425,11.952047664358968,8615.706415682564,10062.731330942595,13971.838270294222,normal,True
T3,Task 3,7.587945476302646,8.371298044239838,9.036894197214878,5327.059289527042,7034.210716452386,7759.40271001088,triangular,False
T4,Task 4,6.387926357773329,9.507844605490853,11.28245396054896,9604.975540921372,12616.64503247373,14306.37856187011,beta,False
T5,Task 5,2.404167763981929,9.560890292077062,12.260672305087937,12577.915837221615,15098.590979048742,17970.33338327784,uniform,False
T6,Task 6,2.403950683025824,4.766052083519485,4.824503398140829,3905.9713945816065,5407.847180499854,7841.6477957868665,triangular,False
T7,Task 7,1.5227525095137953,4.992990681826492,8.244107983572581,8198.064205623517,9841.915096318367,12257.421507016661,triangular,False
T8,Task 8,8.795585311974417,11.255285158868729,16.41178146526159,15085.07742959203,17189.57356900361,22621.20333816425,triangular,True
T9,Task 9,6.41003510568888,8.299696049103847,8.786410545612876,8507.795274800981,10137.230928508552,13454.55140924375,beta,False
T10,Task 10,7.372653200164409,9.344897931168385,14.654816686283006,8013.757067773539,10168.89624240529,12102.871273611958,uniform,False
T11,Task 11,1.185260448662222,2.7997232914756225,4.863091775854754,2237.746085361651,2841.066873147791,3775.3764521022613,triangular,False
T12,Task 12,9.72918866945795,10.22527294315783,16.052246975393743,13899.721989749974,16294.734842275677,22232.222023916656,triangular,False
T13,Task 13,8.491983767203795,8.65258825863948,14.827280874812743,8146.303875787274,10018.471711639859,12215.504097234474,beta,False
T14,Task 14,2.9110519961044856,8.068678498595808,8.26879883685207,3410.4067240414256,4756.621891120476,6028.783952886682,normal,False
T15,Task 15,2.636424704863906,3.3912292333749416,3.539322405407989,3037.836833570886,3720.403588967748,4766.713412265707,beta,False
T16,Task 16,2.650640588680904,8.46413050083895,11.003665544573284,11737.927684983299,13601.799385122784,20034.637985587822,triangular,False
T17,Task 17,3.73818018663584,5.050019707431761,6.945980836353198,2998.5830449841346,3907.3901065661303,5216.35601985109,beta,False
T18,Task 18,5.72280788469014,6.046033869093837,7.587992988688683,4085.9428443776715,4614.197824636518,6825.787219230909,triangular,False
T19,Task 19,4.887505167779041,4.951292593372263,5.2952565833266805,5460.850109643853,6423.445867136049,8494.45411027235,triangular,False
T20,Task 20,3.621062261782377,5.09972988786671,9.529991693664796,5392.537216595848,6618.130505598241,8605.05587985688,beta,False
T21,Task 21,6.506676052501415,10.228040198285091,13.28231967092424,12624.863852054696,14847.037857982803,16352.718791756393,triangular,False
T22,Task 22,2.2554447458683766,2.373980695051298,2.421323035146938,3014.926455984993,4211.792368880841,5443.133527877313,beta,False
T23,Task 23,3.629301836816963,7.010126774062419,8.750232419809773,9697.765189311773,11122.84889115765,16361.5105012179,triangular,False
T24,Task 24,4.297256589643226,4.931295039572736,6.562214341622605,6037.446630144093,6985.353330686393,8238.15043436971,triangular,False
T25,Task 25,5.104629857953324,11.265160833859078,11.556357762047822,15734.635311083657,17840.241763945633,19995.99331284693,point,True
T26,Task 26,8.066583652537123,9.35322815591747,9.810247942587036,6682.252576854412,9207.676687342842,11626.63976981411,triangular,False
T27,Task 27,2.797064039425237,6.627305390926866,9.706441420449895,4950.147990842966,6910.178557136352,8630.526882831778,beta,False
T28,Task 28,5.628109945722504,7.993850292064158,9.49546340872788,4900.202294167266,6733.97828827595,9716.196149677262,triangular,False
T29,Task 29,6.331731119758382,10.262250737277547,15.699031007125727,7527.654014030732,9652.376152292578,10720.35796640858,beta,False
T30,Task 30,1.4180537144799796,1.7587357101841827,2.793263155939912,1996.6466884704694,2543.9482170368196,3734.667835721791,triangular,False
T31,Task 31,6.467903667112945,7.6820066929246655,9.87856717761553,3982.8665939271077,4902.32949412657,6727.766785384111,triangular,False
T32,Task 32,2.534717113185624,3.3946717803143875,3.6694523255915135,2829.512352624706,3905.7455881338715,5708.990821744172,beta,False
T33,Task 33,1.5854643368675156,1.7185600076745189,10.832400519653143,1458.3330998416382,1969.975274618945,2645.6997013323917,beta,False
T34,Task 34,9.53996983528,10.558320788955609,18.313363369089807,11294.687677473647,13097.888839056015,18661.627414478287,beta,True
T35,Task 35,9.690688297671034,9.80934826129392,12.27010457482259,8864.762441786494,11170.350557226457,13786.6426908545,triangular,False
T36,Task 36,8.275576133048151,8.544379730494153,14.87541659338994,7129.041140262498,8274.307561524949,10258.705711206321,triangular,False
T37,Task 37,3.741523922560336,10.73253772906926,11.913745924572495,8579.176213208893,12230.016096259124,15360.284950857696,triangular,True
T38,Task 38,1.8790490260574548,5.78576317221875,7.431057142052079,8626.885222777908,10646.288763743047,14925.2327154991,triangular,False
T39,Task 39,7.158097238609412,9.66956166678325,12.454603022169476,16424.03241763769,18529.201112392042,23119.189399639192,normal,False
T40,Task 40,4.961372443656412,5.197986602474088,7.379895352660929,5316.4651155077845,6511.803778052413,7793.899296271842,triangular,False
T41,Task 41,2.0983441136030097,2.556052100309974,3.029371791662002,2720.5043602626392,3670.3104295392377,5413.955052244138,beta,False
T42,Task 42,5.456592191001432,9.704655527905322,14.4287497705347,5512.932053308428,6535.382809353404,9562.601101038259,point,False
T43,Task 43,1.3094966900369656,2.869037602051283,10.31367726167027,2172.2125008526796,2799.974767916831,3470.621718372789,uniform,False
T44,Task 44,9.18388361870904,11.930604732438754,15.51489819144172,11162.093296338458,13388.993717429837,18126.75914338354,triangular,True
T45,Task 45,3.3290198344001523,4.680069602746747,6.719317744887159,5944.514761938433,8421.615535959983,10186.254619179657,triangular,False
T46,Task 46,6.962700559185838,9.113308066845638,10.454796305312447,6601.202522429845,7980.3693862019545,9436.356270109687,point,False
T47,Task 47,3.8053996848046983,8.41589810942269,11.064956473507092,7280.354297475417,10305.699781803656,12722.755444221704,normal,False
T48,Task 48,5.680612190600297,6.087039110435227,14.651714790126068,10223.325835521351,12042.230996244392,14822.059082157872,uniform,False
T49,Task 49,5.920392514089517,9.243530162025545,14.79125675674069,9395.605234716986,11824.579633914998,17180.055204386274,triangular,False
T50,Task 50,2.6636900997297435,7.544618533710209,10.462445558305982,7756.633337086436,10708.392364276327,15301.452356985094,beta,False
T51,Task 51,9.726261649881026,12.956555653241857,16.146578111423903,7133.373281103216,8822.675863040857,12209.253741529534,triangular,True
T52,Task 52,7.976195410250031,8.696845662812034,8.817595060200519,10791.818542813386,15128.260441744733,22446.376254423547,triangular,False
T53,Task 53,9.455490474077704,10.520128520686516,11.07177761502384,12274.413740212582,14776.469345220263,18751.59584143341,normal,True
T54,Task 54,9.05344615384884,10.517500272941623,18.03898803911963,12461.2445062353,13857.879496644999,16601.922774710034,triangular,False
T55,Task 55,6.381099809299767,6.809049200573744,12.445390405895663,5896.352217242363,6905.368312806692,7920.176923349417,normal,False
T56,Task 56,9.296868115208053,9.355951747819866,9.388838631374348,7288.784435367603,8945.985015380793,10917.871049438072,triangular,False
T57,Task 57,1.7964325184672756,1.823333954307864,2.811147947127597,1478.682269149754,2052.223112746749,2376.6908609406482,triangular,False
T58,Task 58,2.763845761772307,6.650477106524733,9.398863452852863,8501.893179033073,10121.701271606511,11507.103454350314,triangular,False
T59,Task 59,1.4070456001948426,1.4546361422120713,1.4576614386570297,2195.036702423557,2637.524815639181,3537.37674958804,uniform,False
T60,Task 60,3.927972976869379,4.853381788722451,5.536053491044366,4360.1386597334795,6142.602610270611,7651.686383098371,beta,False
T61,Task 61,4.498095607205338,6.628115152459866,9.9854335008712,8557.549234106928,9968.490816133639,13216.505607839435,normal,False
T62,Task 62,3.442141285965063,7.893021576690586,10.361093262891997,8747.721700768185,10883.72556626316,12805.076313027761,normal,False
T63,Task 63,8.458637582367365,11.446268898922929,14.97825017739337,12917.953586200629,16452.35473075879,22552.268332769247,uniform,True
T64,Task 64,4.210779940242304,5.434430945942029,6.453473034847902,7047.242872757472,8217.042059335756,9747.073194981356,triangular,False
T65,Task 65,3.528410587186426,10.23332733159215,10.650202800661784,14118.114807623504,18046.612499985076,21858.227374844344,triangular,False
